country,male,female
India,33.7261,34.8516
Afghanistan,63.8316,56.5661
Algeria,24.6237,21.8138
Angola,80.4362,68.7266
Argentina,10.2636,8.2167
Australia,3.9287,3.2642
Azerbaijan,22.4396,18.3314
Bangladesh,32.8536,28.5585
Belgium,3.8024,2.9878
Benin,95.9954,84.1833
Bolivia,28.4578,23.3349
Brazil,15.5089,12.2564
Burkina Faso,92.1969,82.7411
Burundi,61.1854,51.724
Cambodia,29.6041,23.4238
Cameroon,80.543,68.7345
Canada,5.1965,4.4891
Chad,120.2565,106.8835
Chile,7.5442,6.3734
China,8.3738,7.4015
Colombia,15.2055,12.1994
Cote d'Ivoire,87.0714,71.1176
Cuba,5.6427,4.5673
Czech Republic,3.5282,2.8106
"Korea, Dem. People’s Rep.",19.1299,15.4434
"Congo, Dem. Rep.",91.2789,77.8647
Dominican Republic,30.5687,25.2453
Ecuador,15.5467,12.3364
"Egypt, Arab Rep.",21.4763,18.9959
Ethiopia,56.2392,44.9321
France,4.881,4.0157
Germany,4.1214,3.4762
Ghana,50.6965,41.3817
Greece,4.0425,3.4499
Guatemala,27.07,21.8485
Guinea,104.642,92.7019
Haiti,67.9929,57.2073
Indonesia,26.3952,21.2374
"Iran, Islamic Rep.",14.5425,13.282
Iraq,28.3673,23.2696
Italy,3.3831,2.8839
Japan,2.5881,2.3299
Jordan,16.9032,14.1781
Kazakhstan,11.7402,9.0956
Kenya,46.7595,39.2226
Madagascar,54.9812,45.9932
Malawi,46.004,37.1501
Malaysia,9.2161,7.8574
Mali,99.3972,88.3868
Mexico,15.4779,12.7925
Morocco,23.4824,19.222
Mozambique,78.8102,69.5359
Myanmar,48.8306,40.2313
Nepal,32.9442,28.4779
Netherlands,4.4217,3.6379
Niger,84.002,76.4937
Nigeria,123.6322,110.3993
Pakistan,71.6288,62.6725
Peru,14.4483,11.9309
Philippines,30.1352,24.2916
Poland,4.7588,4.0061
Portugal,4.032,3.309
"Korea, Rep.",3.4504,2.916
Romania,7.6417,6.2775
Russian Federation,6.3191,5.1894
Rwanda,37.4978,31.0584
Saudi Arabia,6.9801,6.3059
Senegal,49.2948,41.1247
Somalia,122.5954,110.614
South Africa,37.3447,31.4143
South Sudan,100.8204,91.4692
Spain,3.3699,2.8219
Sri Lanka,7.7145,6.4565
Sudan,63.2543,53.2233
Sweden,2.7962,2.3381
Syrian Arab Republic,23.4295,19.4956
Thailand,9.9073,8.0786
Tunisia,18.266,15.3705
Turkey,10.6767,9.3825
Uganda,50.5461,40.9553
Ukraine,9.1828,7.5404
United Kingdom,4.661,3.868
Tanzania,53.8808,46.5819
United States,7.048,5.8681
Uzbekistan,19.7484,14.9565
"Venezuela, RB",26.1589,22.0884
Vietnam,23.1846,16.5065
"Yemen, Rep.",62.3958,54.3368
Zambia,66.4345,56.6104
Zimbabwe,59.3439,49.6199
