country,gii,diff
India,0.501,-0.033
Germany,0.084,0.157
Australia,0.103,0.169
Sweden,0.040,0.164
Netherlands,0.041,0.177
Canada,0.083,0.136
United Kingdom,0.119,0.170
United States,0.182,0.167
Belgium,0.045,0.214
Japan,0.099,0.100
"Korea, Rep.",0.058,0.155
"Iran, Islamic Rep.",0.492,0.087
"Venezuela, RB",0.458,0.156
Bolivia,0.446,0.180
"Egypt, Arab Rep.",0.450,0.115
Vietnam,0.314,0.288
Tanzania,0.539,0.135
"Congo, Dem. Rep.",0.655,0.147
Greece,0.122,0.147
Poland,0.120,0.158
Saudi Arabia,0.224,0.097
Portugal,0.081,0.179
Chile,0.288,0.155
Argentina,0.354,0.199
Russian Federation,0.255,0.179
Kazakhstan,0.203,0.225
Romania,0.316,0.179
Turkey,0.305,0.121
Malaysia,0.274,0.147
"Iran, Islamic Rep.",0.492,0.087
Sri Lanka,0.380,0.163
Cuba,0.312,0.191
Mexico,0.334,0.174
Thailand,0.377,0.185
Brazil,0.386,0.210
Colombia,0.411,0.198
Algeria,0.443,0.114
Peru,0.381,0.174
China,0.163,0.116
Ecuador,0.389,0.206
Azerbaijan,0.321,0.183
Ukraine,0.284,0.179
Dominican Republic,0.453,0.174
Tunisia,0.300,0.159
"Venezuela, RB",0.458,0.156
Jordan,0.469,0.161
Philippines,0.425,0.194
Uzbekistan,0.303,0.243
Indonesia,0.451,0.195
South Africa,0.422,0.159
Bolivia,0.446,0.180
"Egypt, Arab Rep.",0.450,0.115
Vietnam,0.314,0.288
Iraq,0.540,0.180
Morocco,0.492,0.181
Guatemala,0.492,0.193
Bangladesh,0.536,0.131
Ghana,0.541,0.184
Zambia,0.540,0.148
Myanmar,0.458,0.176
Cambodia,0.474,0.209
Kenya,0.545,0.161
Nepal,0.476,0.136
Angola,0.578,0.146
Cameroon,0.566,0.147
Zimbabwe,0.525,0.164
Pakistan,0.547,0.125
Syrian Arab Republic,0.547,0.168
Rwanda,0.412,0.172
Tanzania,0.539,0.135
Uganda,0.531,0.190
Benin,0.613,0.123
Senegal,0.523,0.166
Sudan,0.560,0.159
Haiti,0.620,0.159
Afghanistan,0.575,0.114
Malawi,0.615,0.192
Ethiopia,0.508,0.201
"Congo, Dem. Rep.",0.655,0.147
Mozambique,0.569,0.118
Burkina Faso,0.612,0.103
Mali,0.676,0.111
Burundi,0.520,0.155
Chad,0.701,0.111
Niger,0.647,0.089
