name,mort,pop
Saudi Arabia,7.01,22
Bahrain,6.76,20
South Sudan,97.86,21
Iran (Islamic Republic of),12.94,25
Niger,77.52,21
Somalia,114.62,21
Japan,2.49,27
Lebanon,6.98,20
Burkina Faso,84.99,21
Nigeria,113.77,31
Central African Republic,103.00,20
Chad,110.05,21
Mali,90.99,21
China,7.34,100
Afghanistan,57.98,22
Algeria,22.68,22
North Macedonia,5.93,20
Guinea,95.56,21
Sierra Leone,107.83,20
Egypt,19.46,26
Turkey,9.49,25
Mozambique,70.55,22
Bangladesh,29.10,29
Benin,85.94,21
Yemen,59.58,22
Pakistan,65.18,32
Costa Rica,7.91,20
Israel,3.58,20
Qatar,5.76,20
Greece,4.07,21
United Republic of Tanzania,48.87,23
Equatorial Guinea,78.49,20
Liberia,78.28,20
Nepal,28.16,22
Germany,3.65,25
Canada,4.99,22
Togo,64.38,20
Zambia,61.38,21
Malaysia,8.62,22
Papua New Guinea,43.93,20
Cameroon,72.21,21
Democratic Republic of the Congo,81.18,25
Cyprus,2.77,20
Guinea-Bissau,76.84,20
Switzerland,4.00,20
Singapore,2.24,20
Italy,2.91,23
South Africa,32.22,23
Angola,71.47,22
Mauritania,70.71,20
Latvia,4.00,20
Venezuela (Bolivarian Republic of),24.22,22
Albania,9.84,20
Lesotho,89.52,20
Slovenia,2.18,20
Chile,6.75,21
Burundi,54.35,21
Poland,4.36,22
Ireland,3.02,20
Tunisia,16.62,21
Sudan,56.58,22
Rwanda,40.47,21
Zimbabwe,53.89,21
State of Palestine,16.51,20
Sweden,2.64,20
Romania,6.88,21
Hungary,4.05,20
Lithuania,3.28,20
Haiti,60.48,21
Dominican Republic,33.76,21
Botswana,44.84,20
Bulgaria,6.15,20
Timor-Leste,42.27,20
Madagascar,50.24,21
Spain,3.25,23
Congo,44.63,20
Kenya,41.87,23
Australia,3.70,21
Republic of Korea,3.03,23
Syrian Arab Republic,22.40,21
United Kingdom,4.21,24
New Zealand,4.72,20
United States of America,6.35,38
Jordan,15.02,21
Peru,12.82,22
Kuwait,8.86,20
Mexico,13.67,27
Sri Lanka,6.93,21
Austria,3.62,20
Finland,2.31,20
Namibia,40.16,20
Netherlands,4.16,21
Myanmar,43.65,23
Denmark,3.61,20
Slovakia,5.75,20
Eswatini,46.64,20
Gambia,49.37,20
Portugal,3.30,21
Oman,11.01,20
Ukraine,8.11,22
Serbia,5.63,20
Croatia,4.55,20
Azerbaijan,19.39,20
Uruguay,6.19,20
Trinidad and Tobago,16.60,20
Iraq,25.24,22
Libya,11.13,20
Bolivia (Plurinational State of),25.37,21
Senegal,38.08,21
France,4.37,24
Bosnia and Herzegovina,5.73,20
Thailand,8.65,24
Morocco,18.69,22
El Salvador,12.88,20
Cote d'Ivoire,77.91,21
Gabon,41.73,20
Mauritius,16.52,20
Norway,2.20,20
United Arab Emirates,6.57,20
Estonia,2.11,20
Lao People's Democratic Republic,44.08,20
Democratic People's Republic of Korea,16.50,21
Ghana,44.71,22
Cuba,5.11,21
Armenia,10.94,20
Russian Federation,5.41,28
Paraguay,18.90,20
Uganda,43.32,22
Panama,14.34,20
Philippines,26.37,26
Colombia,13.19,23
Guatemala,23.65,21
Indonesia,23.00,35
Malawi,38.58,21
Honduras,16.22,20
Georgia,9.26,20
Republic of Moldova,14.47,20
Ecuador,12.95,21
Kyrgyzstan,17.53,20
Mongolia,15.37,20
Ethiopia,48.71,26
Nicaragua,16.04,20
Brazil,14.70,32
Belgium,4.23,21
Czechia,2.92,21
Cambodia,25.68,21
Jamaica,13.28,20
Belarus,2.91,20
Tajikistan,32.28,20
Eritrea,39.27,20
Argentina,8.56,22
Kazakhstan,10.02,21
Uzbekistan,13.95,22
Turkmenistan,41.76,20
Viet Nam,20.94,25
