name,ratio,pop
Saudi Arabia,-0.05,22
Bahrain,-0.08,20
South Sudan,-0.09,21
Iran (Islamic Republic of),-0.09,25
Niger,-0.10,21
Somalia,-0.10,21
Japan,-0.10,27
Lebanon,-0.10,20
Burkina Faso,-0.11,21
Nigeria,-0.11,31
Central African Republic,-0.11,20
Chad,-0.11,21
Mali,-0.11,21
China,-0.11,100
Afghanistan,-0.11,22
Algeria,-0.12,22
North Macedonia,-0.12,20
Guinea,-0.12,21
Sierra Leone,-0.12,20
Egypt,-0.12,26
Turkey,-0.12,25
Mozambique,-0.12,22
Bangladesh,-0.13,29
Benin,-0.13,21
Yemen,-0.13,22
Pakistan,-0.13,32
Costa Rica,-0.13,20
Israel,-0.13,20
Qatar,-0.14,20
Greece,-0.14,21
United Republic of Tanzania,-0.14,23
Equatorial Guinea,-0.14,20
Liberia,-0.14,20
Nepal,-0.14,22
Germany,-0.15,25
Canada,-0.15,22
Togo,-0.15,20
Zambia,-0.15,21
Malaysia,-0.15,22
Papua New Guinea,-0.15,20
Cameroon,-0.15,21
Democratic Republic of the Congo,-0.15,25
Cyprus,-0.15,20
Guinea-Bissau,-0.15,20
Switzerland,-0.15,20
Singapore,-0.15,20
Italy,-0.15,23
South Africa,-0.15,23
Angola,-0.15,22
Mauritania,-0.15,20
Latvia,-0.15,20
Venezuela (Bolivarian Republic of),-0.15,22
Albania,-0.15,20
Lesotho,-0.15,20
Slovenia,-0.16,20
Chile,-0.16,21
Burundi,-0.16,21
Poland,-0.16,22
Ireland,-0.16,20
Tunisia,-0.16,21
Sudan,-0.16,22
Rwanda,-0.16,21
Zimbabwe,-0.16,21
State of Palestine,-0.16,20
Sweden,-0.16,20
Romania,-0.16,21
Hungary,-0.16,20
Lithuania,-0.16,20
Haiti,-0.16,21
Dominican Republic,-0.17,21
Botswana,-0.17,20
Bulgaria,-0.17,20
Timor-Leste,-0.17,20
Madagascar,-0.17,21
Spain,-0.17,23
Congo,-0.17,20
Kenya,-0.17,23
Australia,-0.17,21
Republic of Korea,-0.17,23
Syrian Arab Republic,-0.17,21
United Kingdom,-0.17,24
New Zealand,-0.17,20
United States of America,-0.17,38
Jordan,-0.17,21
Peru,-0.17,22
Kuwait,-0.17,20
Mexico,-0.17,27
Sri Lanka,-0.17,21
Austria,-0.17,20
Finland,-0.17,20
Namibia,-0.17,20
Netherlands,-0.18,21
Myanmar,-0.18,23
Denmark,-0.18,20
Slovakia,-0.18,20
Eswatini,-0.18,20
Gambia,-0.18,20
Portugal,-0.18,21
Oman,-0.18,20
Ukraine,-0.18,22
Serbia,-0.18,20
Croatia,-0.18,20
Azerbaijan,-0.18,20
Uruguay,-0.18,20
Trinidad and Tobago,-0.18,20
Iraq,-0.18,22
Libya,-0.18,20
Bolivia (Plurinational State of),-0.18,21
Senegal,-0.18,21
France,-0.18,24
Bosnia and Herzegovina,-0.18,20
Thailand,-0.18,24
Morocco,-0.18,22
El Salvador,-0.18,20
Cote d'Ivoire,-0.18,21
Gabon,-0.18,20
Mauritius,-0.19,20
Norway,-0.19,20
United Arab Emirates,-0.19,20
Estonia,-0.19,20
Lao People's Democratic Republic,-0.19,20
Democratic People's Republic of Korea,-0.19,21
Ghana,-0.19,22
Cuba,-0.19,21
Armenia,-0.19,20
Russian Federation,-0.19,28
Paraguay,-0.19,20
Uganda,-0.19,22
Panama,-0.19,20
Philippines,-0.19,26
Colombia,-0.19,23
Guatemala,-0.19,21
Indonesia,-0.20,35
Malawi,-0.20,21
Honduras,-0.20,20
Georgia,-0.20,20
Republic of Moldova,-0.20,20
Ecuador,-0.20,21
Kyrgyzstan,-0.21,20
Mongolia,-0.21,20
Ethiopia,-0.21,26
Nicaragua,-0.21,20
Brazil,-0.21,32
Belgium,-0.21,21
Czechia,-0.21,21
Cambodia,-0.21,21
Jamaica,-0.21,20
Belarus,-0.22,20
Tajikistan,-0.22,20
Eritrea,-0.22,20
Argentina,-0.23,22
Kazakhstan,-0.23,21
Uzbekistan,-0.24,22
Turkmenistan,-0.24,20
Viet Nam,-0.29,25
